Site,AG,HF,HN,L,SB,HW,CCW,CCE,FC,TC,SF,HLP,WH,MU,MR
2013,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2014,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013,0,,0,0,0,0,0,1,0,0,0,0,0,0,
2014,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0,2,0,0,0,1,0,21,0,1,0,0,0,0,0
2013,0,,0,0,0,1,0,0,0,0,2,0,0,0,
2014,0,0,25,0,1,1,0,0,0,0,2,0,0,0,0
2015,0,1,1,0,0,0,1,6,0,0,0,0,0,0,0
2013,0,,0,0,0,0,1,0,0,0,0,0,4,0,
2014,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
2013,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,0,,0,0,1,0,1,0,0,0,0,0,0,0,
2014,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,0,,1,0,0,3,20,85,0,0,1,20,0,0,
2014,0,0,0,0,0,2,29,55,0,0,1,7,0,0,0
2015,0,0,0,0,0,1,1,8,0,1,1,0,0,0,0
2013,0,,0,0,0,0,0,1,0,0,0,0,0,0,
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,0,,12,1,4,0,3,3,0,2,0,0,0,0,
2014,0,10,6,1,2,0,1,2,3,1,1,3,0,0,0
2015,0,39,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2014,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2014,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,0,,0,1,4,0,0,1,0,0,0,0,0,0,
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,0,,0,0,0,0,0,0,1,0,0,2,0,0,
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,3,0,2,0,0,2,1,0,0,0,0
2013,0,,1,2,3,1,1,25,0,0,2,0,0,0,
2014,0,0,10,4,1,6,13,12,0,0,7,1,1,0,0
2015,0,4,26,1,3,10,8,26,0,1,11,0,0,0,0
2013,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2014,0,0,27,0,0,1,0,0,0,0,0,0,0,0,0
2015,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2014,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2014,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,0,,0,0,2,0,0,0,0,0,0,0,0,0,
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2014,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,,0,1,320,0,3,2,8,2,1,0,0,0,
2014,0,1,0,0,65,0,0,3,8,0,11,0,0,0,3
2015,0,0,12,0,87,0,2,14,12,5,26,0,0,0,0
2013,0,,0,0,0,0,0,1,0,0,0,1,0,0,
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013,0,,1,6,0,23,8,1,19,7,12,116,99,21,
2014,0,0,2,14,0,37,2,0,2,2,2,42,3,3,1
2015,0,0,5,0,0,6,1,24,5,4,3,42,17,6,0
2013,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013,0,,4,9,0,22,2,7,0,0,0,2,0,0,
2014,0,0,2,4,0,1,13,6,0,0,0,0,0,0,0
2015,0,2,24,1,0,1,4,22,0,0,0,0,0,0,2
2013,0,,26,39,1,25,12,19,1,12,2,17,5,20,
2014,5,0,8,32,0,28,16,13,0,9,6,15,1,50,6
2015,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
2013,0,,0,0,7,23,3,9,3,9,13,14,34,0,
2014,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
2015,0,0,0,0,2,2,3,0,1,0,1,7,1,2,0
2013,0,,0,2,10,0,2,6,46,6,2,9,6,6,
2014,0,1,0,3,2,2,3,1,48,12,0,27,9,3,12
2015,0,0,2,0,1,8,15,3,39,2,5,23,20,8,14
2013,0,,0,0,2,1,0,1,63,0,4,2,3,2,
2014,0,0,0,6,0,0,1,1,111,1,5,3,6,0,0
2015,0,0,1,0,0,4,1,3,39,1,9,4,21,2,6
2013,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013,0,,0,1,0,0,0,0,0,0,0,0,0,0,
2014,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
2013,0,,0,0,0,0,0,0,1,0,0,0,0,0,
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,0,,0,1,0,1,1,0,0,5,4,23,2,0,
2014,0,0,0,0,0,16,4,0,1,0,2,8,0,0,0
2015,0,0,2,0,0,0,1,2,0,0,2,4,1,0,0
2013,1,,0,1,0,0,0,0,0,0,0,0,0,0,
2014,1,1,4,2,0,0,1,0,0,0,0,0,0,0,1
2015,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0
2013,0,,0,1,7,0,6,2,0,1,1,0,1,0,
2014,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
2015,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2013,0,,0,0,22,0,0,0,0,0,0,0,0,0,
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,0,,6,0,0,0,0,0,0,0,0,0,0,0,
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,,0,0,0,0,0,0,0,0,0,0,0,0,
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,0,,0,7,2,1,2,0,1,0,0,1,0,1,
2014,1,1,29,0,1,1,0,0,0,0,5,0,0,0,0
2015,0,24,178,0,1,0,0,0,1,0,1,0,0,0,0
2013,95,,255,50,15,4,5,4,0,16,1,2,2,0,
2014,18,50,336,7,2,16,2,2,0,21,0,12,0,0,0
2015,0,0,6,3,0,0,0,1,0,1,1,0,0,0,0
2013,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2014,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,0,,136,0,0,0,0,0,0,0,0,1,0,0,
2014,0,72,9,4,0,0,0,0,0,46,0,0,0,0,0
2015,0,121,0,0,0,0,1,0,0,0,0,0,0,0,0
2013,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2013,0,,0,0,14,0,1,40,0,0,1,0,0,1,
2014,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2013,9,,224,40,25,0,0,0,0,2,0,0,0,4,
2014,0,80,91,0,2,1,0,1,0,3,1,0,1,2,0
2015,2,0,14,0,0,0,0,1,1,1,0,0,0,0,1
2013,0,,6,21,34,1,0,1,2,0,3,5,0,1,
2014,2,3,2,1,2,0,2,4,0,0,4,0,1,0,0
2015,1,2,20,0,4,0,1,20,0,1,3,0,1,0,0
2013,11,,2,3,18,0,1,0,0,0,0,0,0,0,
2014,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2015,0,0,11,0,0,0,0,0,0,2,0,0,0,0,0
2013,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2014,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,0,,1,0,11,5,1,1,9,0,1,1,0,0,
2014,0,0,7,0,7,11,1,0,9,0,0,28,0,0,0
2015,0,0,15,0,17,3,1,12,20,0,1,20,1,0,0
2013,0,,0,0,7,0,0,0,0,0,0,0,0,0,
2014,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,4,1,1,1,0,0,0,0
2013,0,,0,1,0,0,0,0,0,0,0,0,0,0,
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2014,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2014,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2014,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
