PaperID,Taxon,Author,Year Published,Metric,EffectSize,EffectSizeStandardError,FireType,Intensity,FireQuantified,FireNotes,YearSinceFire,HabitatType,HabitatDetails,Region,RegionDetails,Biome,Month/Season,Growing,TimeClass
66,Carabids,Roughley et al.,2010,Richness,-0.08,0.38,Prescribed Fire,N/A,No,Spring,1,Grassland,"""tallgrass prairie""",Canada,Manitoba.,,Spring,Growing,1to5
66,Carabids,Roughley et al.,2010,Richness,0.74,0.41,Prescribed Fire,N/A,No,Summer,1,Grassland,"""tallgrass prairie""",Canada,Manitoba.,,Summer,Growing,1to5
66,Carabids,Roughley et al.,2010,Richness,-0.08,0.38,Prescribed Fire,N/A,No,Fall,1,Grassland,"""tallgrass prairie""",Canada,Manitoba.,,Fall,Dormant,1to5
66,Carabids,Roughley et al.,2010,Abundance,0.27,0.38,Prescribed Fire,N/A,No,Spring,2,Grassland,"""tallgrass prairie""",Canada,Manitoba.,,Spring,Growing,1to5
66,Carabids,Roughley et al.,2010,Abundance,-0.47,0.39,Prescribed Fire,N/A,No,Summer,2,Grassland,"""tallgrass prairie""",Canada,Manitoba.,,Summer,Growing,1to5
66,Carabids,Roughley et al.,2010,Abundance,-1.1,0.45,Prescribed Fire,N/A,No,Fall,2,Grassland,"""tallgrass prairie""",Canada,Manitoba.,,Fall,Dormant,1to5
66,Carabids,Roughley et al.,2010,Richness,-0.18,0.38,Prescribed Fire,N/A,No,Spring,2,Grassland,"""tallgrass prairie""",Canada,Manitoba.,,Spring,Growing,1to5
66,Carabids,Roughley et al.,2010,Richness,-0.38,0.39,Prescribed Fire,N/A,No,Summer,2,Grassland,"""tallgrass prairie""",Canada,Manitoba.,,Summer,Growing,1to5
66,Carabids,Roughley et al.,2010,Richness,-0.29,0.38,Prescribed Fire,N/A,No,Fall,2,Grassland,"""tallgrass prairie""",Canada,Manitoba.,,Fall,Dormant,1to5
66,Carabids,Roughley et al.,2010,Abundance,0.16,0.38,Prescribed Fire,N/A,No,Spring,3,Grassland,"""tallgrass prairie""",Canada,Manitoba.,,Spring,Growing,1to5
66,Carabids,Roughley et al.,2010,Abundance,0,0.38,Prescribed Fire,N/A,No,Summer,3,Grassland,"""tallgrass prairie""",Canada,Manitoba.,,Summer,Growing,1to5
66,Carabids,Roughley et al.,2010,Abundance,0.17,0.38,Prescribed Fire,N/A,No,Fall,3,Grassland,"""tallgrass prairie""",Canada,Manitoba.,,Fall,Dormant,1to5
66,Carabids,Roughley et al.,2010,Richness,0.48,0.39,Prescribed Fire,N/A,No,Spring,3,Grassland,"""tallgrass prairie""",Canada,Manitoba.,,Spring,Growing,1to5
66,Carabids,Roughley et al.,2010,Richness,0.35,0.39,Prescribed Fire,N/A,No,Summer,3,Grassland,"""tallgrass prairie""",Canada,Manitoba.,,Summer,Growing,1to5
66,Carabids,Roughley et al.,2010,Richness,1.11,0.46,Prescribed Fire,N/A,No,Fall,3,Grassland,"""tallgrass prairie""",Canada,Manitoba.,,Fall,Dormant,1to5
,Lepidoptera,Bohl et al.,2016,Abundance,-2.99,0.26,Prescribed,N/A,No,N/A,0,Grassland,"""restored prairie""","Ohio, USA",North American Miidwest,,Spring,Growing,0
,Lepidoptera,Campbell et al.,2007,Abundance,4.72,0.74,Prescribed,Low,,,2,Deciduous Forest,Oak Dominated,North America East,"North Carolina, USA",,Winter,Dormant,1to5
,Lepidoptera,Campbell et al.,2007,Abundance,0.54,0.19,Prescribed,Low,,,1,Deciduous Forest,Oak Dominated,North America East,"North Carolina, USA",,Winter,Dormant,1to5
,Lepidoptera,Cleary and Mooers 2004,2004,Richness,-0.12,0,Wildfire,High,,"N/A, but B1 = wildfire = high",2,Tropical Rainforest,,Borneo,,,,,1to5
,Lepidoptera,Cleary and Mooers 2006,2006,Abundance,-0.25,0,Wildfire,High,,"N/A, but B1 = wildfire = high",2,Tropical Rainforest,,Borneo,,,,,1to5
,Lepidoptera,Dollar,2013,Abundance,-0.62,0.3,Prescribed,Low,Descriptive,"""buffers. Litter cover was greatest on control buffers, intermediate on disk 2007 buffers (1st growing season post-disk), and least on burn 2008 buffers (1st growing season post-burn; Table 2). Flowering stems and flowering types were greatest on burn 2008 buffers...""",1,Grassland,grassland,"Mississippi, USA",,,Spring,Growing,1to5
,Lepidoptera,Dollar,2013,Richness,0,0.28,Prescribed,Low,Descriptive,"""buffers. Litter cover was greatest on control buffers, intermediate on disk 2007 buffers (1st growing season post-disk), and least on burn 2008 buffers (1st growing season post-burn; Table 2). Flowering stems and flowering types were greatest on burn 2008 buffers...""",1,Grassland,grassland,"Mississippi, USA",,,Spring,Growing,1to5
,Lepidoptera,Fleishman,2000,Richness,-2.29,0.59,Prescribed,Low,,Prescribed burn = low,0,Riparian/GreatBasin,,Nevada,,,Winter?,Dormant,0
,Lepidoptera,Fleishman,2000,Richness,-2.75,0.7,Prescribed,Low,,Prescribed burn = low,1,Riparian/GreatBasin,,Nevada,,,Winter?,Dormant,1to5
,Lepidoptera,Kwon et al.,2013,Richness,-0.32,0.29,Wildfire,High,Descriptive,"""large forest fire""",0,Grassland,"""..changed into grassland..""",Korea,,,Spring,Growing,0
,Lepidoptera,Kwon et al.,2013,Richness,0.98,0.28,Wildfire,High,Descriptive,"""large forest fire""",1,Grassland,"""..changed into grassland..""",Korea,,,Spring,Growing,1to5
,Lepidoptera,Kwon et al.,2013,Richness,-1.03,0.29,Wildfire,High,Descriptive,"""large forest fire""",2,Grassland,"""..changed into grassland..""",Korea,,,Spring,Growing,1to5
,Lepidoptera,Kwon et al.,2013,Richness,-1.07,0.33,Wildfire,High,Descriptive,"""large forest fire""",3,Grassland,"""..changed into grassland..""",Korea,,,Spring,Growing,1to5
,Lepidoptera,Kwon et al.,2013,Richness,0,0.33,Wildfire,High,Descriptive,"""large forest fire""",4,Grassland,"""..changed into grassland..""",Korea,,,Spring,Growing,1to5
,Lepidoptera,Mciver and Macke,2014,Abundance,0.55,0.3,Prescribed,Low,Descriptive,gave numbers of consumption,1,Coniferous Forest,JP,Western US,"Great Basin, mulitple states",,Summer/Fall,Growing,1to5
,Lepidoptera,Mciver and Macke,2014,Abundance,-0.41,0.31,Prescribed,Low,Descriptive,gave numbers of consumption,1,Coniferous Forest,PJ,Western US,"Great Basin, mulitple states",,Spring/Summer,Growing,1to5
,Lepidoptera,Mciver and Macke,2014,Abundance,1.09,0.53,Prescribed,Low,Descriptive,gave numbers of consumption,1,Grassland,SBE,Western US,"Great Basin, mulitple states",,Summer/Fall,Growing,1to5
,Lepidoptera,Mciver and Macke,2014,Abundance,0.13,0.28,Prescribed,Low,Descriptive,gave numbers of consumption,1,Grassland,SBW,Western US,"Great Basin, mulitple states",,Spring/Summer,Growing,1to5
,Lepidoptera,Mciver and Macke,2014,Abundance,0.05,0.33,Prescribed,Low,Descriptive,gave numbers of consumption,1,Coniferous Forest,WJ,Western US,"Great Basin, mulitple states",,Summer/Fall,Growing,1to5
,Lepidoptera,Mciver and Macke,2014,Richness,0.34,0.29,Prescribed,Low,Descriptive,gave numbers of consumption,1,Coniferous Forest,JP,Western US,"Great Basin, mulitple states",,Spring/Summer,Growing,1to5
,Lepidoptera,Mciver and Macke,2014,Richness,-0.76,0.33,Prescribed,Low,Descriptive,gave numbers of consumption,1,Coniferous Forest,PJ,Western US,"Great Basin, mulitple states",,Spring/Summer,Growing,1to5
,Lepidoptera,Mciver and Macke,2014,Richness,0.69,0.47,Prescribed,Low,Descriptive,gave numbers of consumption,1,Grassland,SBE,Western US,"Great Basin, mulitple states",,Spring/Summer,Growing,1to5
,Lepidoptera,Mciver and Macke,2014,Richness,0.23,0.29,Prescribed,Low,Descriptive,gave numbers of consumption,1,Grassland,SBW,Western US,"Great Basin, mulitple states",,Spring/Summer,Growing,1to5
,Lepidoptera,Mciver and Macke,2014,Richness,0,0.33,Prescribed,Low,Descriptive,gave numbers of consumption,1,Coniferous Forest,WJ,Western US,"Great Basin, mulitple states",,Spring/Summer,Growing,1to5
,Lepidoptera,Mciver and Macke,2014,Abundance,1.07,0.38,Prescribed,Low,Descriptive,gave numbers of consumption,2,Coniferous Forest,JP,Western US,"Great Basin, mulitple states",,Summer/Fall,Growing,1to5
,Lepidoptera,Mciver and Macke,2014,Abundance,-0.84,0.34,Prescribed,Low,Descriptive,gave numbers of consumption,2,Coniferous Forest,PJ,Western US,"Great Basin, mulitple states",,Spring/Summer,Growing,1to5
,Lepidoptera,Mciver and Macke,2014,Abundance,-0.05,0.38,Prescribed,Low,Descriptive,gave numbers of consumption,2,Grassland,SBE,Western US,"Great Basin, mulitple states",,Summer/Fall,Growing,1to5
,Lepidoptera,Mciver and Macke,2014,Abundance,-0.32,0.29,Prescribed,Low,Descriptive,gave numbers of consumption,2,Grassland,SBW,Western US,"Great Basin, mulitple states",,Spring/Summer,Growing,1to5
,Lepidoptera,Mciver and Macke,2014,Abundance,0.15,0.33,Prescribed,Low,Descriptive,gave numbers of consumption,2,Coniferous Forest,WJ,Western US,"Great Basin, mulitple states",,Summer/Fall,Growing,1to5
,Lepidoptera,Mciver and Macke,2014,Richness,0.72,0.35,Prescribed,Low,Descriptive,gave numbers of consumption,2,Coniferous Forest,JP,Western US,"Great Basin, mulitple states",,Spring/Summer,Growing,1to5
,Lepidoptera,Mciver and Macke,2014,Richness,0.3,0.31,Prescribed,Low,Descriptive,gave numbers of consumption,2,Coniferous Forest,PJ,Western US,"Great Basin, mulitple states",,Spring/Summer,Growing,1to5
,Lepidoptera,Mciver and Macke,2014,Richness,-0.14,0.38,Prescribed,Low,Descriptive,gave numbers of consumption,2,Grassland,SBE,Western US,"Great Basin, mulitple states",,Spring/Summer,Growing,1to5
,Lepidoptera,Mciver and Macke,2014,Richness,0,0.28,Prescribed,Low,Descriptive,gave numbers of consumption,2,Grassland,SBW,Western US,"Great Basin, mulitple states",,Spring/Summer,Growing,1to5
,Lepidoptera,Mciver and Macke,2014,Richness,0.55,0.34,Prescribed,Low,Descriptive,gave numbers of consumption,2,Coniferous Forest,WJ,Western US,"Great Basin, mulitple states",,Spring/Summer,Growing,1to5
,Lepidoptera,Mciver and Macke,2014,Abundance,0.64,0.27,Prescribed,Low,Descriptive,gave numbers of consumption,3,Coniferous Forest,JP,Western US,"Great Basin, mulitple states",,Summer/Fall,Growing,1to5
,Lepidoptera,Mciver and Macke,2014,Abundance,-0.4,0.29,Prescribed,Low,Descriptive,gave numbers of consumption,3,Coniferous Forest,PJ,Western US,"Great Basin, mulitple states",,Spring/Summer,Growing,1to5
,Lepidoptera,Mciver and Macke,2014,Abundance,0.85,0.42,Prescribed,Low,Descriptive,gave numbers of consumption,3,Grassland,SBE,Western US,"Great Basin, mulitple states",,Summer/Fall,Growing,1to5
,Lepidoptera,Mciver and Macke,2014,Abundance,1.06,0.31,Prescribed,Low,Descriptive,gave numbers of consumption,3,Grassland,SBW,Western US,"Great Basin, mulitple states",,Spring/Summer,Growing,1to5
,Lepidoptera,Mciver and Macke,2014,Abundance,-0.49,0.26,Prescribed,Low,Descriptive,gave numbers of consumption,3,Coniferous Forest,WJ,Western US,"Great Basin, mulitple states",,Summer/Fall,Growing,1to5
,Lepidoptera,Mciver and Macke,2014,Richness,0.48,0.26,Prescribed,Low,Descriptive,gave numbers of consumption,3,Coniferous Forest,JP,Western US,"Great Basin, mulitple states",,Spring/Summer,Growing,1to5
,Lepidoptera,Mciver and Macke,2014,Richness,-0.07,0.28,Prescribed,Low,Descriptive,gave numbers of consumption,3,Coniferous Forest,PJ,Western US,"Great Basin, mulitple states",,Spring/Summer,Growing,1to5
,Lepidoptera,Mciver and Macke,2014,Richness,10.2,0.44,Prescribed,Low,Descriptive,gave numbers of consumption,3,Grassland,SBE,Western US,"Great Basin, mulitple states",,Spring/Summer,Growing,1to5
,Lepidoptera,Mciver and Macke,2014,Richness,0.32,0.27,Prescribed,Low,Descriptive,gave numbers of consumption,3,Grassland,SBW,Western US,"Great Basin, mulitple states",,Spring/Summer,Growing,1to5
,Lepidoptera,Mciver and Macke,2014,Richness,-0.05,0.25,Prescribed,Low,Descriptive,gave numbers of consumption,3,Coniferous Forest,WJ,Western US,"Great Basin, mulitple states",,Spring/Summer,Growing,1to5
,Lepidoptera,Mciver and Macke,2014,Abundance,0.52,0.3,Prescribed,Low,Descriptive,gave numbers of consumption,4,Coniferous Forest,JP,Western US,"Great Basin, mulitple states",,Summer/Fall,Growing,1to5
,Lepidoptera,Mciver and Macke,2014,Abundance,0.23,0.33,Prescribed,Low,Descriptive,gave numbers of consumption,4,Coniferous Forest,PJ,Western US,"Great Basin, mulitple states",,Spring/Summer,Growing,1to5
,Lepidoptera,Mciver and Macke,2014,Abundance,1.13,0.39,Prescribed,Low,Descriptive,gave numbers of consumption,4,Grassland,SBE,Western US,"Great Basin, mulitple states",,Summer/Fall,Growing,1to5
,Lepidoptera,Mciver and Macke,2014,Abundance,0.63,0.28,Prescribed,Low,Descriptive,gave numbers of consumption,4,Grassland,SBW,Western US,"Great Basin, mulitple states",,Spring/Summer,Growing,1to5
,Lepidoptera,Mciver and Macke,2014,Abundance,-0.49,0.25,Prescribed,Low,Descriptive,gave numbers of consumption,4,Coniferous Forest,WJ,Western US,"Great Basin, mulitple states",,Summer/Fall,Growing,1to5
,Lepidoptera,Mciver and Macke,2014,Richness,0.42,0.29,Prescribed,Low,Descriptive,gave numbers of consumption,4,Coniferous Forest,JP,Western US,"Great Basin, mulitple states",,Spring/Summer,Growing,1to5
,Lepidoptera,Mciver and Macke,2014,Richness,0.83,0.36,Prescribed,Low,Descriptive,gave numbers of consumption,4,Coniferous Forest,PJ,Western US,"Great Basin, mulitple states",,Spring/Summer,Growing,1to5
,Lepidoptera,Mciver and Macke,2014,Richness,1.44,0.43,Prescribed,Low,Descriptive,gave numbers of consumption,4,Grassland,SBE,Western US,"Great Basin, mulitple states",,Spring/Summer,Growing,1to5
,Lepidoptera,Mciver and Macke,2014,Richness,0.21,0.27,Prescribed,Low,Descriptive,gave numbers of consumption,4,Grassland,SBW,Western US,"Great Basin, mulitple states",,Spring/Summer,Growing,1to5
,Lepidoptera,Mciver and Macke,2014,Richness,-0.13,0.24,Prescribed,Low,Descriptive,gave numbers of consumption,4,Coniferous Forest,WJ,Western US,"Great Basin, mulitple states",,Spring/Summer,Growing,1to5
,Lepidoptera,Mciver and Macke,2014,Abundance,0.64,0.35,Prescribed,Low,Descriptive,gave numbers of consumption,5,Coniferous Forest,JP,Western US,"Great Basin, mulitple states",,Summer/Fall,Growing,1to5
,Lepidoptera,Mciver and Macke,2014,Abundance,-0.35,0.39,Prescribed,Low,Descriptive,gave numbers of consumption,5,Coniferous Forest,PJ,Western US,"Great Basin, mulitple states",,Spring/Summer,Growing,1to5
,Lepidoptera,Mciver and Macke,2014,Abundance,-0.33,0.44,Prescribed,Low,Descriptive,gave numbers of consumption,5,Grassland,SBE,Western US,"Great Basin, mulitple states",,Summer/Fall,Growing,1to5
,Lepidoptera,Mciver and Macke,2014,Abundance,-0.27,0.33,Prescribed,Low,Descriptive,gave numbers of consumption,5,Grassland,SBW,Western US,"Great Basin, mulitple states",,Spring/Summer,Growing,1to5
,Lepidoptera,Mciver and Macke,2014,Abundance,-0.34,0.29,Prescribed,Low,Descriptive,gave numbers of consumption,5,Coniferous Forest,WJ,Western US,"Great Basin, mulitple states",,Summer/Fall,Growing,1to5
,Lepidoptera,Mciver and Macke,2014,Richness,0.31,0.33,Prescribed,Low,Descriptive,gave numbers of consumption,5,Coniferous Forest,JP,Western US,"Great Basin, mulitple states",,Spring/Summer,Growing,1to5
,Lepidoptera,Mciver and Macke,2014,Richness,0.09,0.38,Prescribed,Low,Descriptive,gave numbers of consumption,5,Coniferous Forest,PJ,Western US,"Great Basin, mulitple states",,Spring/Summer,Growing,1to5
,Lepidoptera,Mciver and Macke,2014,Richness,-0.18,0.43,Prescribed,Low,Descriptive,gave numbers of consumption,5,Grassland,SBE,Western US,"Great Basin, mulitple states",,Spring/Summer,Growing,1to5
,Lepidoptera,Mciver and Macke,2014,Richness,-0.1,0.33,Prescribed,Low,Descriptive,gave numbers of consumption,5,Grassland,SBW,Western US,"Great Basin, mulitple states",,Spring/Summer,Growing,1to5
,Lepidoptera,Mciver and Macke,2014,Richness,-0.1,0.28,Prescribed,Low,Descriptive,gave numbers of consumption,5,Coniferous Forest,WJ,Western US,"Great Basin, mulitple states",,Spring/Summer,Growing,1to5
,Lepidoptera,Mciver and Macke,2014,Abundance,0.04,0.38,Prescribed,Low,Descriptive,gave numbers of consumption,6,Coniferous Forest,JP,Western US,"Great Basin, mulitple states",,Summer/Fall,Growing,5+
,Lepidoptera,Mciver and Macke,2014,Abundance,-0.38,0.39,Prescribed,Low,Descriptive,gave numbers of consumption,6,Coniferous Forest,PJ,Western US,"Great Basin, mulitple states",,Spring/Summer,Growing,5+
,Lepidoptera,Mciver and Macke,2014,Abundance,0.82,0.48,Prescribed,Low,Descriptive,gave numbers of consumption,6,Grassland,SBE,Western US,"Great Basin, mulitple states",,Summer/Fall,Growing,5+
,Lepidoptera,Mciver and Macke,2014,Abundance,0.82,0.48,Prescribed,Low,Descriptive,gave numbers of consumption,6,Coniferous Forest,WJ,Western US,"Great Basin, mulitple states",,Summer/Fall,Growing,5+
,Lepidoptera,Mciver and Macke,2014,Richness,0.38,0.39,Prescribed,Low,Descriptive,gave numbers of consumption,6,Coniferous Forest,JP,Western US,"Great Basin, mulitple states",,Spring/Summer,Growing,5+
,Lepidoptera,Mciver and Macke,2014,Richness,-0.11,0.38,Prescribed,Low,Descriptive,gave numbers of consumption,6,Coniferous Forest,PJ,Western US,"Great Basin, mulitple states",,Spring/Summer,Growing,5+
,Lepidoptera,Mciver and Macke,2014,Richness,0.57,0.45,Prescribed,Low,Descriptive,gave numbers of consumption,6,Grassland,SBE,Western US,"Great Basin, mulitple states",,Spring/Summer,Growing,5+
,Lepidoptera,Mciver and Macke,2014,Richness,0.32,0.38,Prescribed,Low,Descriptive,gave numbers of consumption,6,Coniferous Forest,WJ,Western US,"Great Basin, mulitple states",,Spring/Summer,Growing,5+
,Lepidoptera,Mciver and Macke,2014,Abundance,0,0.38,Prescribed,Low,Descriptive,gave numbers of consumption,7,Coniferous Forest,JP,Western US,"Great Basin, mulitple states",,Summer/Fall,Growing,5+
,Lepidoptera,Mciver and Macke,2014,Abundance,0.07,0.33,Prescribed,Low,Descriptive,gave numbers of consumption,7,Coniferous Forest,PJ,Western US,"Great Basin, mulitple states",,Spring/Summer,Growing,5+
,Lepidoptera,Mciver and Macke,2014,Abundance,0.77,0.4,Prescribed,Low,Descriptive,gave numbers of consumption,7,Grassland,SBE,Western US,"Great Basin, mulitple states",,Summer/Fall,Growing,5+
,Lepidoptera,Mciver and Macke,2014,Abundance,0.03,0.33,Prescribed,Low,Descriptive,gave numbers of consumption,7,Coniferous Forest,WJ,Western US,"Great Basin, mulitple states",,Summer/Fall,Growing,5+
,Lepidoptera,Mciver and Macke,2014,Richness,-0.13,0.38,Prescribed,Low,Descriptive,gave numbers of consumption,7,Coniferous Forest,JP,Western US,"Great Basin, mulitple states",,Spring/Summer,Growing,5+
,Lepidoptera,Mciver and Macke,2014,Richness,1.08,0.47,Prescribed,Low,Descriptive,gave numbers of consumption,7,Coniferous Forest,PJ,Western US,"Great Basin, mulitple states",,Spring/Summer,Growing,5+
,Lepidoptera,Mciver and Macke,2014,Richness,0.84,0.36,Prescribed,Low,Descriptive,gave numbers of consumption,7,Coniferous Forest,WJ,Western US,"Great Basin, mulitple states",,Spring/Summer,Growing,5+
,Lepidoptera,Nowicki et al.,2015,Abundance,0.22,0.09,Wildfire,High,Descriptive,"extensive fire, rapid spread of flames, strong wind, dry conditions",0,floodplain meadow,,Poland,,,Spring,Growing,0
,Lepidoptera,Powell et al.,2007,Abundance,-0.66,0.07,Prescribed,Mid,Desciptive,"""absence of litter, recently killed junipers, charred stems""",0,Grassland,praire,Kansas,,,No,Growing,0
,Lepidoptera,Pryke et al.,2012,Abundance,0.07,0.41,Wildfire,Low,Desciptive,some woody vegetation both dead and alive,1,Dessert,rocky habitat,South Africa,,,,,1to5
,Lepidoptera,Pryke et al.,2012,Abundance,0.44,0.43,Wildfire,Low,Desciptive,some woody vegetation both dead and alive,3,Dessert,rocky habitat,South Africa,,,,,1to5
,Lepidoptera,Pryke et al.,2012,Richness,-1.1,0.5,Wildfire,Low,Desciptive,some woody vegetation both dead and alive,1,Dessert,rocky habitat,South Africa,,,,,1to5
,Lepidoptera,Pryke et al.,2012,Richness,-0.42,0.43,Wildfire,Low,Desciptive,some woody vegetation both dead and alive,3,Dessert,rocky habitat,South Africa,,,,,1to5
,Lepidoptera,Riva et al.,2018,Abundance,-0.81,0.01,Wildfire,High,Desciptive,>85% tree mortality,0,Coniferous Forest,"spruce, large, aspen","Alberta, Canada",,,No,No,0
,Lepidoptera,Scandurra et al.,2014,Richness,3.47,0.21,Wildfire,,No,Wildfire,0,Deciduous Forest,chestnut and hazelnut trees,Italy,,,,Dormant,0
,Lepidoptera,Scandurra et al.,2014,Abundance,4.78,0.32,Wildfire,,No,Wildfire,0,Deciduous Forest,chestnut and hazelnut trees,Italy,,,,Dormant,0
,Lepidoptera,Serrat et al.,2015,Richness,0.31,0.03,Wildfire,High,Descriptive,severe,2,Coniferous Forest,Aleppo pine,Spain,,,,,1to5
,Lepidoptera,Serrat et al.,2015,Abundance,-0.51,0.03,Wildfire,High,Descriptive,severe,2,Coniferous Forest,Aleppo pine,Spain,,,,,1to5
,Lepidoptera,Warchola et al. 2015,2015,Abundance,0.21,0.02,Prescribed,Low,No,Prescribed burn = low,2,Grassland,praire,"Oregon, USA",,,Summer,Growing,1to5
,Lepidoptera,Warchola et al. 2017,2017,Abundance,0.31,0.03,Prescribed,Low,No,Prescribed burn = low,1,Grassland,praire,"Oregon, USA",,,Fall,Dormant,1to5
,Lepidoptera,Warchola et al. 2017,2017,Abundance,0.28,0.03,Prescribed,Low,No,Prescribed burn = low,2,Grassland,praire,"Oregon, USA",,,Fall,Dormant,1to5
,Lepidoptera,Warchola et al. 2017,2017,Abundance,-0.04,0.03,Prescribed,Low,No,Prescribed burn = low,3,Grassland,praire,"Oregon, USA",,,Fall,Dormant,1to5
